CID	Dataset	CHD	HD	HL	CHL	CDL	DL	S+ZS	S+HD	S+CHD	S+CHL	SMILES
244	arctander	The scent is faintly sweet with varying intensity depending on alcohol quality.	Faint, nondescript odor, rather sweet, but varies considerably with the quality of the alcohol.	faint; sweet	The scent is a faint, sweet aroma that is subtle and mildly fragrant.	The scent is a complex blend of floral, fruity, and herbal notes with spicy and woody undertones.	floral; fruity; green; herbaceous; spicy; woody	The odor is a sweet, floral scent, resembling phenylacetaldehyde, a fragrant compound.	Pungent, tar-like, smoky, phenolic odor with medicinal undertones, somewhat resembling Creosote or Carbolic acid.	The scent is sweet and phenolic, with medicinal and herbal notes.	The scent is a sweet, phenolic, and slightly medicinal odor.	C1=CC=C(C=C1)CO
244	goodscents	The scent is floral, rose, and slightly phenolic with balsamic notes.	floral rose phenolic balsamic. Luebke; Sweet, floral, fruity with chemical nuances. Mosciano; very mild, nearly neutral, little characteristic, slightly reminiscent of almond and naphthalene; delicate, sweet, aromatic floral (jasmin notes); Floral-rose, phenolic, balsamic, mild and with only a very slight almond note. Benzyl alcohol appears in many flower and herb GC and headspace analyses and appears to act as a natural fixative and blending agent in flower scents: it can be used in a similar way in fragrance creation. This is fragrance grade material of high purity: when benzyl alcohol develops a distinct almond note it is due to the formation of benzaldehyde - if this happens discard it and buy fresh.	balsamic; chemical; floral; fruity; phenolic; rose; sweet	Sweet, floral scent with balsamic and fruity notes, hinting at rose and chemical undertones.	Earthy and sweet, with notes of egg and fungus, on a woody base.	eggy; fungal; sweet; woody	The odorant has a sweet, floral scent, reminiscent of phenolic compounds.	sweet vanilla creamy phenolic medicinal	The scent is a sweet, floral, and slightly spicy phenolic aroma.	The scent is a sweet, soft, and slightly spicy phenolic aroma.	C1=CC=C(C=C1)CO
244	leffingwell	The scent is a faint, sweet almond aroma with a slightly chemical undertone.	Faint, sweet, almond fruity aroma; sweet, but somewhat chemical taste	almond; fruity; sweet	The scent is a sweet and fruity almond aroma.	The scent is a sweet, floral blend with fruity and spicy undertones.	floral; fruity; spicy; sweet	The odor is a sweet, floral, and slightly spicy benzyl alcohol scent.	Sweet, honey-like, floral, and slightly medicinal almond	Sweet and slightly spicy, with notes of vanilla and almond, reminiscent of perfumery.	The scent is sweet and floral, with notes of honey and rose.	C1=CC=C(C=C1)CO
261	arctander	The odor is pungent and irritating, with a fruity banana scent at extreme dilution.	Very diffusive, penetrating, pungent-irritating odor. Only in extreme dilution will truly fruity, Banana-like, green-fresh odor become perceptible.	banana; fruity; green	Sweet banana aroma with fruity and fresh green undertones.	Sweet banana scent with a light, fruity, and ethereal aroma.	banana; ethereal; fruity	Butanal's pungent, sweet, and fruity odor is reminiscent of burnt caramel.	Strong, pungent, and unpleasantly sharp odor, somewhat reminiscent of Acetic acid.	Pungent and acrid, with a sharp, fruity, and slightly sweet smell.	The scent is pungent, acrid, and strongly fruity, like overripe or rotting fruit.	CCCC=O
261	goodscents	The scent is pungent and rich with notes of cocoa, musty green, and malty bread.	pungent cocoa musty green malty bready. Luebke; Pungent, diffusive, cocoa, choking, musty, green, malty. Mosciano; Fruity, Ethereal, Meat; ALDEHYDIC, FRUITY, GREEN, CACAO	bready; cocoa; green; malty; musty; pungent	Rich, pungent aroma with notes of bready malt, cocoa, and green undertones, tinged with musty depth.	Sweet, tropical aroma with earthy and chemical undertones.	banana_peel; coconut; eucalyptus; fungal; green_beans; rum; solvent; sweet	The odorant smells of sharp, pungent butanal, resembling rancid fruit or sweaty socks.	sweet fatty nutty, buttery, cheesy, fruity, and floral notes	Buttery, sweet, and nutty, with a hint of fruit and floral notes.	The scent is pungent, with a harsh and irritating solvent-like odor.	CCCC=O
261	leffingwell	The scent is a sweet, fruity, and malty green aroma reminiscent of cocoa.	In high dilution, cocoa, fruity, malt-like green odor & taste	cocoa; fruity; green; malty	Rich cocoa and fruity notes blend with green and malty undertones.	Sweet, fruity aroma with hints of banana, cheese, and rum, and a green, ethereal undertone.	banana; cheesy; ethereal; fruity; green; ketonic; rum	The smell of butanone (CCCC=O) is sweet and pungent, similar to acetone.	Pungent, buttery, cheesy, with sweet and fruity notes	Pungent, sharp, and fruity, with notes of green apple and citrus.	The scent is buttery, sweet, and fruity with a hint of nuttiness.	CCCC=O
262	goodscents	The scent is a sweet blend of fruity, creamy, and buttery notes.	fruity creamy buttery	buttery; creamy; fruity	The scent is rich and sweet, with buttery and creamy notes balanced by fruity undertones.	Earthy, damp scent of fallen leaves and fungi, reminiscent of autumn forests.	autumn; fungal	Butyric acid's pungent, sour smell is akin to vomit or sweat.	almond vanilla sweet creamy fruity	The scent is pungent, with notes of sour fruit and sharp acidity.	The scent is a sweet, milky, and creamy aroma with a hint of fruit.	CC(C(C)O)O
263	arctander	The odor is a mild, chemical, and winey scent, similar to fusel oil but more volatile.	.Mild ‘“fuseI’’-like odor, more volatile and more choking than fusel oil itself. Although somewhat winey in character, its odor is really nondescript, rather .-chemical”.	winey	The winey smell is rich, fruity, and slightly fermented.	Ethereal sweetness mingles with fresh green and fruity notes.	ethereal; fruity; green	The odorant has a sweet, pungent, and slightly fruity smell, characteristic of butanol.	Pungent, unpleasant, and penetrating odor, often compared to that of garlic or onion.	The smell is pungent and earthy, reminiscent of damp soil.	The scent is a pungent, unpleasant, and boozy ether-like odor.	CCCCO
263	goodscents	The scent is a sweet, whiskey-like blend with balsam notes.	fusel oil sweet balsam whiskey	balsamic; fusel; oily; sweet; whiskey	Rich, sweet whiskey aroma with balsamic and oily undertones, hinting at fusel notes.	Pungent, earthy scent with bitter and sweet notes, reminiscent of damp soil and vegetables.	bitter; earthy; eucalyptus; fecal; fig; freshly_laundered_clothes; fungal; green_beans; sharp; sweet; vegetable	The odorant CCCCO, or butanol, has a sweet, pungent, and slightly alcoholic smell.	pungent gasoline petroleum	The scent is a sweet, buttery, and creamy aroma, reminiscent of vanilla.	The scent is a pungent and sweet butanol aroma with solvent notes.	CCCCO
263	leffingwell	The scent is breathtaking, with winey and fusel oil-like notes.	Breathtaking, winey, fusel oil-like	alcoholic; solvent; winey	The smell is pungent and boozy, reminiscent of strong wine and solvents.	Sweet, fermented fruit with an ethereal, slightly alcoholic hint.	alcoholic; ethereal; fermented; fruity; green	The smell of CCCCO is butanol, a pungent and sweet alcohol scent.	Pungent, earthy, mossy, slightly sweet and woody	Sweet and earthy, with a hint of moss and herbal undertones.	The scent is sweet, mild, and slightly grassy or waxy.	CCCCO
264	arctander	The smell is a powerful, sour odor reminiscent of rancid butter.	Powerful, penetrating, diffusive sour odor, reminiscent of rancid butter.	sour	The smell is pungent and acidic, like a strong citrus or vinegar scent.	The scent is an airy, fruity aroma with fresh green notes.	ethereal; fruity; green	The smell is pungent and acrid, like vinegar, due to the compound being butyric acid.	Pungent, sour, sweaty, and unpleasantly acrid odor, reminding one of butyric acid or sweat.	Pungent, sour smell reminiscent of sweat and body odor.	The scent is pungent, sharp, and sour, with a penetrating acetic character.	CCCC(=O)O
264	goodscents	The odor is sharp, cheesy, and buttery with fruity and acidic notes.	sharp acetic cheese butter fruit. Luebke; Sharp, dairy-like, cheesy, buttery with a fruity nuance. Mosciano; A sharp, cheesy, rancid butter odor. Can be used for sharpness in buttery or dairy-type applications.; acidic, caprylic, cheesy note	acetic; buttery; cheesy; dairy; fruity; sharp	Pungent aroma with sharp, fruity, and cheesy notes, reminiscent of strong dairy and acetic hints with a buttery undertone.	Sweet, tropical aroma with fruity and chemical undertones, hinting at apricot and pineapple.	apricot; chemical; fungal; green_beans; pineapple; sweet; tropical	Butyric acid, encoded by CCCC(=O)O, smells like strong, sour sweat or vomit.	pungent sour cheesy fruity butyric	Butyric acid's pungent, sour smell, reminiscent of sweat and strong cheese.	The scent is a pungent, fruity, and slightly sweet butyric acid aroma.	CCCC(=O)O
264	leffingwell	The smell is strong, cheesy, and sour, with a buttery, rancid tone.	Strong, cheese, butter-like, sour-rancid odor and taste	buttery; cheesy; sour	The smell is pungently buttery and cheesy with a sour undertone.	Sweet and fruity aroma with notes of apple, pear, and pineapple, and a hint of green freshness.	apple; fruity; green; pear; pineapple	The smell is butyric acid's pungent, sour, and unpleasantly sharp odor.	Fruity, slightly sweet, and waxy, with apple and pineapple notes	Sweet, fruity aroma with notes of apple and pear, and a hint of acidity.	The scent is sharp, pungent, and fruity with vinegar notes.	CCCC(=O)O
273	goodscents	Cadaverine smells like strong human sperm with hints of rotting corpse and animalic notes.	Sperm, dead-animal, animalic. From the name you might expect Cadaverine to smell like a rotting corpse and while there is certainly an element of that, most people are immediately struck by the overwhelming note of human sperm - at this dilution way, way stronger smelling than real ejaculate - which of course makes it ideal for those seeking to create perfumes with pheromones, sexuality and lust in mind.	animal; to; like; to	The smell is pungent and animal-like, similar to a musky odor.	The smell is earthy and vegetal, reminiscent of fresh green beans.	green_beans	The odorant has a strong, fishy, and ammonia-like smell, similar to trimethylamine.	fishy ammoniacal sweaty animalic	The scent is pungent and fishy, with strong ammoniacal notes.	The scent is fishy, sweaty, and ammoniacal with strong umami notes.	C(CCN)CCN
280	goodscents	The scent is completely odorless, lacking any discernible aroma.	odorless	odorless	It has no discernible scent, a complete absence of aroma.	The smell is a dark, rich, and earthy scent, like damp soil or charcoal.	black	The smell of C(=O)=O is pungent and acidic, like vinegar.	pungent sharp acidic sour vinegar-like	Pungent, acidic, and sharp, reminiscent of vinegar or citrus.	The scent is acidic and pungent, with a sharp burning smell.	C(=O)=O
284	arctander	The odor is pungent, causing a stinging sensation on mucous membranes.	Pungent odor giving a stinging sensation on the mocous membranes.	pungent	The smell is sharp and intense, with a strong, overpowering aroma.	The scent is a delicate, fruity aroma with an airy, ethereal quality.	ethereal; fruity	The smell of formic acid, C(=O)O, is pungent and acidic.	Formic acid, pungent, biting, and irritating vinegar-like odor.	Pungent and sour, with a sharp acidic smell, like vinegar.	The scent is pungent, acidic, and irritating, like formic acid.	C(=O)O
284	goodscents	The scent is sharp, penetrating, and acetic with fruity and fermented notes.	pungent vinegar formyl. Luebke; Sharp, penetrating, acetic, fruity with a fermented nuance. Mosciano	acetic; fermented; fruity; pungent; sharp; vinegar	The smell is pungent and sharp, like strong vinegar with fruity and fermented undertones.	Rich, sweet brown sugar and rum notes blend with eucalyptus and fungal undertones.	brown_sugar; eucalyptus; fungal; rum; sweet	The smell of formic acid (C(=O)O) is pungent and acidic.	pungent acidic sour vinegar	Pungent, acidic smell, similar to vinegar or sour citrus.	The scent is pungent, sour, and acidic, reminiscent of vinegar.	C(=O)O
284	leffingwell	The scent is pungent with a sour, fruity undertone.	Pungent, penetrating odor; sour fruity taste	pungent	The smell is sharp and overpowering, with a strong, intense aroma.	Intensely sweet and fruity, with a sharp, pungent edge and ethereal quality.	ethereal; fruity; pungent; sharp; sweet	The smell of formic acid (C(=O)O) is pungent and acidic.	Pungent, sharp, acidic, vinegar-like odor	The scent is pungent and acrid, similar to vinegar or sour fermentation.	The scent is pungent and sour, characteristic of vinegar.	C(=O)O
289	leffingwell	The scent features mild, phenolic, and burnt notes.	Mild, phenolic, burnt notes	burnt; phenolic	Smells of charred, acrid smoke with a medicinal, phenolic tang.	Sweet, burnt caramel with fruity and phenolic undertones.	burnt; caramellic; fruity; phenolic; sweet	The odorant smells like strong, pungent vinegar, acidic and sharp.	Sweet, floral, and slightly spicy, phenolic note	Fruity and floral, with sweet notes of honey and rose, and a hint of tartness.	The scent is pungent and medicinal with sweet, tar-like notes.	C1=CC=C(C(=C1)O)O
294	arctander	This substance is virtually odorless when pure or of good commercial grade.	Virtually odorless when pure, or of good commercial grade	odorless	The smell is completely neutral, lacking any discernible scent or aroma.	The scent is completely neutral, lacking any discernible aroma or fragrance.	odorless	The odorant has a sweet, fruity aroma reminiscent of glucose.	Sweet, floral, and fruity, reminiscent of honey and rose.	Sweet, slightly bitter almond aroma with hints of cherry and floral notes.	The scent is sweet and powdery, reminiscent of vanilla and caramel.	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
